protein,freq,study,study_type
TP53,9,stad_uhongkong,stomach
DNAH7,7,stad_uhongkong,stomach
ARID1A,6,stad_uhongkong,stomach
CSMD3,6,stad_uhongkong,stomach
LRP1B,6,stad_uhongkong,stomach
SLCO6A1,6,stad_uhongkong,stomach
PTEN,6,stad_uhongkong,stomach
PCDH15,5,stad_uhongkong,stomach
COPB2,4,stad_uhongkong,stomach
ACVR2A,4,stad_uhongkong,stomach
TTK,4,stad_uhongkong,stomach
USH2A,4,stad_uhongkong,stomach
DNAH3,4,stad_uhongkong,stomach
FMN2,4,stad_uhongkong,stomach
EIF3A,4,stad_uhongkong,stomach
USP34,4,stad_uhongkong,stomach
SPTA1,4,stad_uhongkong,stomach
HERC2,4,stad_uhongkong,stomach
LMAN1,4,stad_uhongkong,stomach
HMCN1,4,stad_uhongkong,stomach
TIAM1,4,stad_uhongkong,stomach
PAPPA,4,stad_uhongkong,stomach
RPL22,3,stad_uhongkong,stomach
CCPG1,3,stad_uhongkong,stomach
LRRK2,3,stad_uhongkong,stomach
ZFP57,3,stad_uhongkong,stomach
LGR4,3,stad_uhongkong,stomach
DYSF,3,stad_uhongkong,stomach
TTC3,3,stad_uhongkong,stomach
FSCB,3,stad_uhongkong,stomach
ABCA7,3,stad_uhongkong,stomach
ABCA8,3,stad_uhongkong,stomach
RYR1,3,stad_uhongkong,stomach
SYCP2,3,stad_uhongkong,stomach
KIDINS220,3,stad_uhongkong,stomach
SLC44A5,3,stad_uhongkong,stomach
PIK3CA,3,stad_uhongkong,stomach
SUN2,3,stad_uhongkong,stomach
KAT8,3,stad_uhongkong,stomach
HFM1,3,stad_uhongkong,stomach
TDRD6,3,stad_uhongkong,stomach
FLG,3,stad_uhongkong,stomach
FLNB,3,stad_uhongkong,stomach
COL6A3,3,stad_uhongkong,stomach
ERICH3,3,stad_uhongkong,stomach
CCDC73,3,stad_uhongkong,stomach
ABCB5,3,stad_uhongkong,stomach
APC,3,stad_uhongkong,stomach
ARFGEF1,3,stad_uhongkong,stomach
APOB,3,stad_uhongkong,stomach
PREPL,3,stad_uhongkong,stomach
KIF20B,3,stad_uhongkong,stomach
NLRP6,3,stad_uhongkong,stomach
RNF123,3,stad_uhongkong,stomach
STAU2,3,stad_uhongkong,stomach
MTR,3,stad_uhongkong,stomach
UBE3C,3,stad_uhongkong,stomach
CFAP61,3,stad_uhongkong,stomach
RAPGEF2,3,stad_uhongkong,stomach
SEMA3E,3,stad_uhongkong,stomach
TRPM6,3,stad_uhongkong,stomach
CYLC1,3,stad_uhongkong,stomach
BDP1,3,stad_uhongkong,stomach
KANSL1L,3,stad_uhongkong,stomach
DHX36,3,stad_uhongkong,stomach
RELN,3,stad_uhongkong,stomach
DMXL1,3,stad_uhongkong,stomach
ITPR2,3,stad_uhongkong,stomach
STAB1,3,stad_uhongkong,stomach
ITPR3,3,stad_uhongkong,stomach
ZIK1,3,stad_uhongkong,stomach
BRCA2,3,stad_uhongkong,stomach
SACS,3,stad_uhongkong,stomach
SYNJ2,3,stad_uhongkong,stomach
KCNH2,3,stad_uhongkong,stomach
NCAPD2,3,stad_uhongkong,stomach
C9ORF84,3,stad_uhongkong,stomach
ADAMTS18,3,stad_uhongkong,stomach
TAF2,3,stad_uhongkong,stomach
DMD,3,stad_uhongkong,stomach
MOCOS,3,stad_uhongkong,stomach
FAT4,3,stad_uhongkong,stomach
MCHR1,3,stad_uhongkong,stomach
ARID4A,3,stad_uhongkong,stomach
SYNE1,3,stad_uhongkong,stomach
FNBP4,3,stad_uhongkong,stomach
LAMA2,3,stad_uhongkong,stomach
SPAG9,3,stad_uhongkong,stomach
SLC39A10,3,stad_uhongkong,stomach
ATP8B2,3,stad_uhongkong,stomach
MASTL,3,stad_uhongkong,stomach
LRP2,3,stad_uhongkong,stomach
BCAM,3,stad_uhongkong,stomach
EPHB4,2,stad_uhongkong,stomach
TPP2,2,stad_uhongkong,stomach
ADAMTS19,2,stad_uhongkong,stomach
TPTE,2,stad_uhongkong,stomach
DLG5,2,stad_uhongkong,stomach
ERBB2,2,stad_uhongkong,stomach
ERBB3,2,stad_uhongkong,stomach
ERBB4,2,stad_uhongkong,stomach
METTL3,2,stad_uhongkong,stomach
ABCA3,2,stad_uhongkong,stomach
ATP8B4,2,stad_uhongkong,stomach
EYA4,2,stad_uhongkong,stomach
ERCC3,2,stad_uhongkong,stomach
WDR64,2,stad_uhongkong,stomach
LZTR1,2,stad_uhongkong,stomach
HIVEP1,2,stad_uhongkong,stomach
C11ORF70,2,stad_uhongkong,stomach
CTTNBP2,2,stad_uhongkong,stomach
ERCC6,2,stad_uhongkong,stomach
TMEM60,2,stad_uhongkong,stomach
KLHDC2,2,stad_uhongkong,stomach
MAP2,2,stad_uhongkong,stomach
MARK1,2,stad_uhongkong,stomach
TRPC4,2,stad_uhongkong,stomach
CFTR,2,stad_uhongkong,stomach
TRPS1,2,stad_uhongkong,stomach
FKBP9,2,stad_uhongkong,stomach
KLF3,2,stad_uhongkong,stomach
MCM7,2,stad_uhongkong,stomach
CHD1,2,stad_uhongkong,stomach
OR2J2,2,stad_uhongkong,stomach
CHD3,2,stad_uhongkong,stomach
KLHL41,2,stad_uhongkong,stomach
CCDC178,2,stad_uhongkong,stomach
ATP8B1,2,stad_uhongkong,stomach
COL22A1,2,stad_uhongkong,stomach
TECRL,2,stad_uhongkong,stomach
OR14C36,2,stad_uhongkong,stomach
ACVR2B,2,stad_uhongkong,stomach
PFKP,2,stad_uhongkong,stomach
CHKA,2,stad_uhongkong,stomach
KCNB2,2,stad_uhongkong,stomach
MDM2,2,stad_uhongkong,stomach
TRIP12,2,stad_uhongkong,stomach
CHRM2,2,stad_uhongkong,stomach
FAM13B,2,stad_uhongkong,stomach
CHRM3,2,stad_uhongkong,stomach
ABCA9,2,stad_uhongkong,stomach
HNRNPC,2,stad_uhongkong,stomach
ADCY6,2,stad_uhongkong,stomach
ADCY7,2,stad_uhongkong,stomach
TULP1,2,stad_uhongkong,stomach
RSRC1,2,stad_uhongkong,stomach
CHRNG,2,stad_uhongkong,stomach
ABCB1,2,stad_uhongkong,stomach
MEOX2,2,stad_uhongkong,stomach
ARHGAP22,2,stad_uhongkong,stomach
FANCG,2,stad_uhongkong,stomach
ZDHHC15,2,stad_uhongkong,stomach
FASN,2,stad_uhongkong,stomach
ARID1B,2,stad_uhongkong,stomach
NOD1,2,stad_uhongkong,stomach
SEMA6D,2,stad_uhongkong,stomach
FKTN,2,stad_uhongkong,stomach
LRFN5,2,stad_uhongkong,stomach
ZNF644,2,stad_uhongkong,stomach
PGAM4,2,stad_uhongkong,stomach
NPAP1,2,stad_uhongkong,stomach
MKI67,2,stad_uhongkong,stomach
TJP2,2,stad_uhongkong,stomach
PLCL1,2,stad_uhongkong,stomach
C1QTNF6,2,stad_uhongkong,stomach
TP53RK,2,stad_uhongkong,stomach
POLN,2,stad_uhongkong,stomach
DNAJB5,2,stad_uhongkong,stomach
ARHGAP20,2,stad_uhongkong,stomach
PLK1,2,stad_uhongkong,stomach
CCDC191,2,stad_uhongkong,stomach
GPAT2,2,stad_uhongkong,stomach
PUS7,2,stad_uhongkong,stomach
SDHA,2,stad_uhongkong,stomach
CNTN1,2,stad_uhongkong,stomach
AKAP7,2,stad_uhongkong,stomach
MAP3K19,2,stad_uhongkong,stomach
CCDC33,2,stad_uhongkong,stomach
WDR48,2,stad_uhongkong,stomach
UNC13B,2,stad_uhongkong,stomach
RNF32,2,stad_uhongkong,stomach
ROCK2,2,stad_uhongkong,stomach
NAPSA,2,stad_uhongkong,stomach
MRE11A,2,stad_uhongkong,stomach
ABCC1,2,stad_uhongkong,stomach
AMPD1,2,stad_uhongkong,stomach
COL7A1,2,stad_uhongkong,stomach
FLNC,2,stad_uhongkong,stomach
CLCA4,2,stad_uhongkong,stomach
COL11A1,2,stad_uhongkong,stomach
DCAF13,2,stad_uhongkong,stomach
COL12A1,2,stad_uhongkong,stomach
UBQLN2,2,stad_uhongkong,stomach
KAT5,2,stad_uhongkong,stomach
LRRN1,2,stad_uhongkong,stomach
SEMA7A,2,stad_uhongkong,stomach
CCDC146,2,stad_uhongkong,stomach
OTUD6A,2,stad_uhongkong,stomach
FOLH1,2,stad_uhongkong,stomach
OR5D18,2,stad_uhongkong,stomach
OR5D14,2,stad_uhongkong,stomach
ICA1,2,stad_uhongkong,stomach
LZTFL1,2,stad_uhongkong,stomach
EQTN,2,stad_uhongkong,stomach
BAG4,2,stad_uhongkong,stomach
BAG3,2,stad_uhongkong,stomach
NDST2,2,stad_uhongkong,stomach
ASTE1,2,stad_uhongkong,stomach
ASAP3,2,stad_uhongkong,stomach
HKDC1,2,stad_uhongkong,stomach
SHC4,2,stad_uhongkong,stomach
RNF213,2,stad_uhongkong,stomach
COL5A3,2,stad_uhongkong,stomach
SYCP3,2,stad_uhongkong,stomach
MSH3,2,stad_uhongkong,stomach
SIN3A,2,stad_uhongkong,stomach
PPARG,2,stad_uhongkong,stomach
RAB14,2,stad_uhongkong,stomach
FANCM,2,stad_uhongkong,stomach
SKIL,2,stad_uhongkong,stomach
NR1D1,2,stad_uhongkong,stomach
ABLIM3,2,stad_uhongkong,stomach
NLRP2,2,stad_uhongkong,stomach
ZBTB1,2,stad_uhongkong,stomach
ESF1,2,stad_uhongkong,stomach
SPAG5,2,stad_uhongkong,stomach
SLC4A2,2,stad_uhongkong,stomach
RANBP17,2,stad_uhongkong,stomach
WDR91,2,stad_uhongkong,stomach
ATF6,2,stad_uhongkong,stomach
SLC7A4,2,stad_uhongkong,stomach
NLRP9,2,stad_uhongkong,stomach
ZNF676,2,stad_uhongkong,stomach
PPP3CA,2,stad_uhongkong,stomach
MLIP,2,stad_uhongkong,stomach
IGF2R,2,stad_uhongkong,stomach
KLF7,2,stad_uhongkong,stomach
FEZF1,2,stad_uhongkong,stomach
ZNF43,2,stad_uhongkong,stomach
PREP,2,stad_uhongkong,stomach
GCC2,2,stad_uhongkong,stomach
SLCO1A2,2,stad_uhongkong,stomach
CEP135,2,stad_uhongkong,stomach
SAFB2,2,stad_uhongkong,stomach
ANKRD11,2,stad_uhongkong,stomach
HLTF,2,stad_uhongkong,stomach
EIF5B,2,stad_uhongkong,stomach
MYH15,2,stad_uhongkong,stomach
CCAR2,2,stad_uhongkong,stomach
PLPP4,2,stad_uhongkong,stomach
ZNF84,2,stad_uhongkong,stomach
CTNNB1,2,stad_uhongkong,stomach
MPP6,2,stad_uhongkong,stomach
ACTRT1,2,stad_uhongkong,stomach
SPEN,2,stad_uhongkong,stomach
PIWIL3,2,stad_uhongkong,stomach
IL5RA,2,stad_uhongkong,stomach
EDRF1,2,stad_uhongkong,stomach
NPAS4,2,stad_uhongkong,stomach
12-Sep,2,stad_uhongkong,stomach
CYTH4,2,stad_uhongkong,stomach
PROX1,2,stad_uhongkong,stomach
SORL1,2,stad_uhongkong,stomach
SOS2,2,stad_uhongkong,stomach
MYBPH,2,stad_uhongkong,stomach
SECISBP2L,2,stad_uhongkong,stomach
CAPN9,2,stad_uhongkong,stomach
TCTN3,2,stad_uhongkong,stomach
NES,2,stad_uhongkong,stomach
MYH3,2,stad_uhongkong,stomach
MYH7,2,stad_uhongkong,stomach
CLSTN3,2,stad_uhongkong,stomach
BRPF3,2,stad_uhongkong,stomach
MYH11,2,stad_uhongkong,stomach
CHIA,2,stad_uhongkong,stomach
CAND2,2,stad_uhongkong,stomach
ZBTB17,2,stad_uhongkong,stomach
SPANXN2,2,stad_uhongkong,stomach
UHRF1BP1L,2,stad_uhongkong,stomach
ARMC3,2,stad_uhongkong,stomach
ATRX,2,stad_uhongkong,stomach
MYO5A,2,stad_uhongkong,stomach
MYO5B,2,stad_uhongkong,stomach
ERAP1,2,stad_uhongkong,stomach
ADAM23,2,stad_uhongkong,stomach
KRT27,2,stad_uhongkong,stomach
SPRR2B,2,stad_uhongkong,stomach
UNC5B,2,stad_uhongkong,stomach
MCHR2,2,stad_uhongkong,stomach
BCORL1,2,stad_uhongkong,stomach
DPYSL5,2,stad_uhongkong,stomach
FRS2,2,stad_uhongkong,stomach
MAML1,2,stad_uhongkong,stomach
NAP1L4,2,stad_uhongkong,stomach
SLCO1B3,2,stad_uhongkong,stomach
GBP2,2,stad_uhongkong,stomach
NCAM2,2,stad_uhongkong,stomach
ZKSCAN7,2,stad_uhongkong,stomach
BRINP1,2,stad_uhongkong,stomach
CAMTA2,2,stad_uhongkong,stomach
KCTD21,2,stad_uhongkong,stomach
SNX16,2,stad_uhongkong,stomach
ITGA2,2,stad_uhongkong,stomach
ZNF236,2,stad_uhongkong,stomach
EPB41L3,2,stad_uhongkong,stomach
ZNF804A,2,stad_uhongkong,stomach
RNF43,2,stad_uhongkong,stomach
PTH2R,2,stad_uhongkong,stomach
NCDN,2,stad_uhongkong,stomach
ELMO1,2,stad_uhongkong,stomach
DDX5,2,stad_uhongkong,stomach
FFAR4,2,stad_uhongkong,stomach
IQGAP1,2,stad_uhongkong,stomach
KIAA0753,2,stad_uhongkong,stomach
KCNK18,2,stad_uhongkong,stomach
PTN,2,stad_uhongkong,stomach
JAK3,2,stad_uhongkong,stomach
PTPN4,2,stad_uhongkong,stomach
NELL2,2,stad_uhongkong,stomach
SLC9C1,2,stad_uhongkong,stomach
BRD8,2,stad_uhongkong,stomach
PTPRC,2,stad_uhongkong,stomach
OSBPL2,2,stad_uhongkong,stomach
BRCA1,2,stad_uhongkong,stomach
ZBED4,2,stad_uhongkong,stomach
EDAR,2,stad_uhongkong,stomach
PTPRK,2,stad_uhongkong,stomach
PTPRM,2,stad_uhongkong,stomach
CCDC130,2,stad_uhongkong,stomach
GLDC,2,stad_uhongkong,stomach
CLVS2,2,stad_uhongkong,stomach
GLI3,2,stad_uhongkong,stomach
NAE1,2,stad_uhongkong,stomach
BRPF1,2,stad_uhongkong,stomach
SLC22A10,2,stad_uhongkong,stomach
SYCP1,2,stad_uhongkong,stomach
DIAPH2,2,stad_uhongkong,stomach
NAV3,2,stad_uhongkong,stomach
ADAMTS15,2,stad_uhongkong,stomach
HYLS1,2,stad_uhongkong,stomach
SYT4,2,stad_uhongkong,stomach
SGOL2,2,stad_uhongkong,stomach
P2RY14,2,stad_uhongkong,stomach
ARHGAP25,2,stad_uhongkong,stomach
ALS2CR11,2,stad_uhongkong,stomach
DLEC1,2,stad_uhongkong,stomach
TAF1,2,stad_uhongkong,stomach
CREB3L3,2,stad_uhongkong,stomach
MAGEC1,2,stad_uhongkong,stomach
NMBR,2,stad_uhongkong,stomach
CAMTA1,2,stad_uhongkong,stomach
ZNF649,2,stad_uhongkong,stomach
GPT2,2,stad_uhongkong,stomach
RNF128,2,stad_uhongkong,stomach
NOS1,2,stad_uhongkong,stomach
ZFP82,2,stad_uhongkong,stomach
TBX1,2,stad_uhongkong,stomach
ERICH6,2,stad_uhongkong,stomach
FBXO34,2,stad_uhongkong,stomach
NOVA1,2,stad_uhongkong,stomach
NELFE,2,stad_uhongkong,stomach
KPNA4,2,stad_uhongkong,stomach
DOCK2,2,stad_uhongkong,stomach
DPAGT1,2,stad_uhongkong,stomach
CACNB2,2,stad_uhongkong,stomach
IQSEC3,2,stad_uhongkong,stomach
RANBP2,2,stad_uhongkong,stomach
ACOT8,2,stad_uhongkong,stomach
EVC2,2,stad_uhongkong,stomach
CAD,2,stad_uhongkong,stomach
GCFC2,2,stad_uhongkong,stomach
TRPA1,2,stad_uhongkong,stomach
CALD1,2,stad_uhongkong,stomach
GNE,2,stad_uhongkong,stomach
DSG2,2,stad_uhongkong,stomach
RBBP6,2,stad_uhongkong,stomach
ZPBP,2,stad_uhongkong,stomach
STXBP5,2,stad_uhongkong,stomach
ZCCHC6,2,stad_uhongkong,stomach
KHDRBS2,2,stad_uhongkong,stomach
NUP98,2,stad_uhongkong,stomach
NR4A2,2,stad_uhongkong,stomach
DERL2,2,stad_uhongkong,stomach
PCDHB4,2,stad_uhongkong,stomach
RHBDL1,2,stad_uhongkong,stomach
TSPEAR,2,stad_uhongkong,stomach
NSD1,2,stad_uhongkong,stomach
PCDHA13,2,stad_uhongkong,stomach
ABCB6,2,stad_uhongkong,stomach
PCDHA6,2,stad_uhongkong,stomach
GRIK2,2,stad_uhongkong,stomach
PCDHA1,2,stad_uhongkong,stomach
OR6C65,2,stad_uhongkong,stomach
VPS36,2,stad_uhongkong,stomach
GRIN2A,2,stad_uhongkong,stomach
DPP3,2,stad_uhongkong,stomach
PSTPIP2,2,stad_uhongkong,stomach
ADNP,2,stad_uhongkong,stomach
BEND2,2,stad_uhongkong,stomach
EDIL3,2,stad_uhongkong,stomach
SERPINH1,2,stad_uhongkong,stomach
ZNF169,2,stad_uhongkong,stomach
EDNRB,2,stad_uhongkong,stomach
KRIT1,2,stad_uhongkong,stomach
CCDC7,2,stad_uhongkong,stomach
KIF20A,2,stad_uhongkong,stomach
USP26,2,stad_uhongkong,stomach
CCT6A,2,stad_uhongkong,stomach
MSH6,2,stad_uhongkong,stomach
SEMA3D,2,stad_uhongkong,stomach
SLC39A12,2,stad_uhongkong,stomach
GZF1,2,stad_uhongkong,stomach
SPATA31A1,2,stad_uhongkong,stomach
AKAP9,2,stad_uhongkong,stomach
GTF3C1,2,stad_uhongkong,stomach
ABHD17B,2,stad_uhongkong,stomach
TMEM168,2,stad_uhongkong,stomach
PLXDC2,2,stad_uhongkong,stomach
AASS,2,stad_uhongkong,stomach
VWA5A,2,stad_uhongkong,stomach
TNFSF8,2,stad_uhongkong,stomach
NEMF,2,stad_uhongkong,stomach
TMX4,2,stad_uhongkong,stomach
CD58,2,stad_uhongkong,stomach
INTS4,2,stad_uhongkong,stomach
ROCK1,2,stad_uhongkong,stomach
CHSY3,2,stad_uhongkong,stomach
CDC5L,2,stad_uhongkong,stomach
SKA3,2,stad_uhongkong,stomach
SKIV2L2,2,stad_uhongkong,stomach
CYB5R4,2,stad_uhongkong,stomach
KAT6B,2,stad_uhongkong,stomach
PC,2,stad_uhongkong,stomach
PSPC1,2,stad_uhongkong,stomach
ENG,2,stad_uhongkong,stomach
TNR,2,stad_uhongkong,stomach
CDH1,2,stad_uhongkong,stomach
CDH4,2,stad_uhongkong,stomach
ANGPTL5,2,stad_uhongkong,stomach
DCLK1,2,stad_uhongkong,stomach
CDH12,2,stad_uhongkong,stomach
TP53BP1,2,stad_uhongkong,stomach
SLC44A3,2,stad_uhongkong,stomach
CDH18,2,stad_uhongkong,stomach
CCDC158,2,stad_uhongkong,stomach
SENP7,2,stad_uhongkong,stomach
HDGF,2,stad_uhongkong,stomach
XPOT,2,stad_uhongkong,stomach
EPHB6,1,stad_uhongkong,stomach
NCOA3,1,stad_uhongkong,stomach
HIP1,1,stad_uhongkong,stomach
AMER1,1,stad_uhongkong,stomach
ERCC5,1,stad_uhongkong,stomach
ABL2,1,stad_uhongkong,stomach
DGCR14,1,stad_uhongkong,stomach
MAN2A1,1,stad_uhongkong,stomach
ERF,1,stad_uhongkong,stomach
PHF20,1,stad_uhongkong,stomach
KREMEN1,1,stad_uhongkong,stomach
MANBA,1,stad_uhongkong,stomach
STAG1,1,stad_uhongkong,stomach
PDGFRB,1,stad_uhongkong,stomach
RPN1,1,stad_uhongkong,stomach
USP9X,1,stad_uhongkong,stomach
ETV6,1,stad_uhongkong,stomach
MECOM,1,stad_uhongkong,stomach
EXT1,1,stad_uhongkong,stomach
CHD4,1,stad_uhongkong,stomach
BCL11A,1,stad_uhongkong,stomach
ACVR1B,1,stad_uhongkong,stomach
EZH1,1,stad_uhongkong,stomach
TRRAP,1,stad_uhongkong,stomach
PLEKHG5,1,stad_uhongkong,stomach
F8,1,stad_uhongkong,stomach
ESCO1,1,stad_uhongkong,stomach
RXRA,1,stad_uhongkong,stomach
MAP3K1,1,stad_uhongkong,stomach
AXIN2,1,stad_uhongkong,stomach
HIRA,1,stad_uhongkong,stomach
SCAF4,1,stad_uhongkong,stomach
FANCA,1,stad_uhongkong,stomach
TYK2,1,stad_uhongkong,stomach
ACSL3,1,stad_uhongkong,stomach
MET,1,stad_uhongkong,stomach
NDRG1,1,stad_uhongkong,stomach
FCGR1A,1,stad_uhongkong,stomach
HIST1H3E,1,stad_uhongkong,stomach
CIITA,1,stad_uhongkong,stomach
NEGR1,1,stad_uhongkong,stomach
PIK3C3,1,stad_uhongkong,stomach
CLTC,1,stad_uhongkong,stomach
MIB1,1,stad_uhongkong,stomach
MLF1,1,stad_uhongkong,stomach
KIAA1109,1,stad_uhongkong,stomach
KMT2A,1,stad_uhongkong,stomach
MLLT1,1,stad_uhongkong,stomach
AKT1,1,stad_uhongkong,stomach
ALDH1A1,1,stad_uhongkong,stomach
ALDH2,1,stad_uhongkong,stomach
PLEC,1,stad_uhongkong,stomach
FHIT,1,stad_uhongkong,stomach
TAF1L,1,stad_uhongkong,stomach
KDM6A,1,stad_uhongkong,stomach
D2HGDH,1,stad_uhongkong,stomach
SMYD3,1,stad_uhongkong,stomach
VCL,1,stad_uhongkong,stomach
RAD54L,1,stad_uhongkong,stomach
MKL1,1,stad_uhongkong,stomach
HSP90AA1,1,stad_uhongkong,stomach
COL1A1,1,stad_uhongkong,stomach
CARM1,1,stad_uhongkong,stomach
CUL4B,1,stad_uhongkong,stomach
CUL4A,1,stad_uhongkong,stomach
CUL3,1,stad_uhongkong,stomach
MAPKAP1,1,stad_uhongkong,stomach
TSHZ3,1,stad_uhongkong,stomach
PMS2,1,stad_uhongkong,stomach
AFF2,1,stad_uhongkong,stomach
TRIM42,1,stad_uhongkong,stomach
C11ORF54,1,stad_uhongkong,stomach
KNSTRN,1,stad_uhongkong,stomach
PIK3R3,1,stad_uhongkong,stomach
FERMT1,1,stad_uhongkong,stomach
BIRC3,1,stad_uhongkong,stomach
POU2AF1,1,stad_uhongkong,stomach
FBXO11,1,stad_uhongkong,stomach
MSH2,1,stad_uhongkong,stomach
XPO1,1,stad_uhongkong,stomach
MED1,1,stad_uhongkong,stomach
INTS8,1,stad_uhongkong,stomach
ZIM3,1,stad_uhongkong,stomach
CREBBP,1,stad_uhongkong,stomach
AR,1,stad_uhongkong,stomach
PREX2,1,stad_uhongkong,stomach
ZNF563,1,stad_uhongkong,stomach
ZC3H7A,1,stad_uhongkong,stomach
LRIG3,1,stad_uhongkong,stomach
SETD2,1,stad_uhongkong,stomach
PPP2R2C,1,stad_uhongkong,stomach
ARNT,1,stad_uhongkong,stomach
CATSPER1,1,stad_uhongkong,stomach
HOOK3,1,stad_uhongkong,stomach
KIN,1,stad_uhongkong,stomach
MTOR,1,stad_uhongkong,stomach
PRF1,1,stad_uhongkong,stomach
TET1,1,stad_uhongkong,stomach
ASPA,1,stad_uhongkong,stomach
PRKAA2,1,stad_uhongkong,stomach
SMARCA1,1,stad_uhongkong,stomach
SENP6,1,stad_uhongkong,stomach
CSTF3,1,stad_uhongkong,stomach
FLCN,1,stad_uhongkong,stomach
ZFHX3,1,stad_uhongkong,stomach
PRKCI,1,stad_uhongkong,stomach
ATF1,1,stad_uhongkong,stomach
TNKS,1,stad_uhongkong,stomach
SEL1L2,1,stad_uhongkong,stomach
CTNNA1,1,stad_uhongkong,stomach
ATM,1,stad_uhongkong,stomach
FUT5,1,stad_uhongkong,stomach
BRSK1,1,stad_uhongkong,stomach
MAP2K1,1,stad_uhongkong,stomach
MUC1,1,stad_uhongkong,stomach
MUTYH,1,stad_uhongkong,stomach
IL6ST,1,stad_uhongkong,stomach
RNF111,1,stad_uhongkong,stomach
SON,1,stad_uhongkong,stomach
CEP104,1,stad_uhongkong,stomach
CYLD,1,stad_uhongkong,stomach
PLK2,1,stad_uhongkong,stomach
MYH9,1,stad_uhongkong,stomach
MYH10,1,stad_uhongkong,stomach
TSHZ2,1,stad_uhongkong,stomach
KDM4C,1,stad_uhongkong,stomach
CDK12,1,stad_uhongkong,stomach
AXL,1,stad_uhongkong,stomach
B2M,1,stad_uhongkong,stomach
INSRR,1,stad_uhongkong,stomach
SUSD3,1,stad_uhongkong,stomach
DGKA,1,stad_uhongkong,stomach
IRF4,1,stad_uhongkong,stomach
DAXX,1,stad_uhongkong,stomach
NUF2,1,stad_uhongkong,stomach
IL18R1,1,stad_uhongkong,stomach
PTK2,1,stad_uhongkong,stomach
PRDM2,1,stad_uhongkong,stomach
WHSC1L1,1,stad_uhongkong,stomach
MSI2,1,stad_uhongkong,stomach
BLM,1,stad_uhongkong,stomach
JAK1,1,stad_uhongkong,stomach
CSDE1,1,stad_uhongkong,stomach
TWISTNB,1,stad_uhongkong,stomach
NUTM1,1,stad_uhongkong,stomach
NEFH,1,stad_uhongkong,stomach
JARID2,1,stad_uhongkong,stomach
CDAN1,1,stad_uhongkong,stomach
BMPR1A,1,stad_uhongkong,stomach
STK19,1,stad_uhongkong,stomach
NF1,1,stad_uhongkong,stomach
GPC3,1,stad_uhongkong,stomach
KIF15,1,stad_uhongkong,stomach
PTPRF,1,stad_uhongkong,stomach
MRPL16,1,stad_uhongkong,stomach
DPEP2,1,stad_uhongkong,stomach
GLI1,1,stad_uhongkong,stomach
AADACL2,1,stad_uhongkong,stomach
DDX18,1,stad_uhongkong,stomach
NFKB1,1,stad_uhongkong,stomach
MCM3AP,1,stad_uhongkong,stomach
MAFB,1,stad_uhongkong,stomach
ANKRD12,1,stad_uhongkong,stomach
CDC73,1,stad_uhongkong,stomach
GNAS,1,stad_uhongkong,stomach
GOLGA5,1,stad_uhongkong,stomach
MAP3K7,1,stad_uhongkong,stomach
KIT,1,stad_uhongkong,stomach
TAP2,1,stad_uhongkong,stomach
PRRC2A,1,stad_uhongkong,stomach
MED12,1,stad_uhongkong,stomach
PIGO,1,stad_uhongkong,stomach
DNMT1,1,stad_uhongkong,stomach
CASC5,1,stad_uhongkong,stomach
DNMT3B,1,stad_uhongkong,stomach
TBX15,1,stad_uhongkong,stomach
NPM1,1,stad_uhongkong,stomach
KRAS,1,stad_uhongkong,stomach
HIST1H3F,1,stad_uhongkong,stomach
USP13,1,stad_uhongkong,stomach
AKT3,1,stad_uhongkong,stomach
TCF12,1,stad_uhongkong,stomach
NRAS,1,stad_uhongkong,stomach
CALCR,1,stad_uhongkong,stomach
DSC1,1,stad_uhongkong,stomach
BCL2L11,1,stad_uhongkong,stomach
KDM5A,1,stad_uhongkong,stomach
ZSCAN4,1,stad_uhongkong,stomach
HCN1,1,stad_uhongkong,stomach
GRK4,1,stad_uhongkong,stomach
PARP2,1,stad_uhongkong,stomach
KTN1,1,stad_uhongkong,stomach
PAK7,1,stad_uhongkong,stomach
CNTRL,1,stad_uhongkong,stomach
DDR2,1,stad_uhongkong,stomach
KAT6A,1,stad_uhongkong,stomach
CARS,1,stad_uhongkong,stomach
ARHGEF12,1,stad_uhongkong,stomach
RFWD2,1,stad_uhongkong,stomach
TRIOBP,1,stad_uhongkong,stomach
NR4A3,1,stad_uhongkong,stomach
DNAJB7,1,stad_uhongkong,stomach
BRD3,1,stad_uhongkong,stomach
NUP214,1,stad_uhongkong,stomach
NCSTN,1,stad_uhongkong,stomach
LCK,1,stad_uhongkong,stomach
TEK,1,stad_uhongkong,stomach
TEP1,1,stad_uhongkong,stomach
TERT,1,stad_uhongkong,stomach
OR10J1,1,stad_uhongkong,stomach
ASH2L,1,stad_uhongkong,stomach
PTPRT,1,stad_uhongkong,stomach
FAF1,1,stad_uhongkong,stomach
ATP10D,1,stad_uhongkong,stomach
RHEB,1,stad_uhongkong,stomach
FGF23,1,stad_uhongkong,stomach
ZNF750,1,stad_uhongkong,stomach
ATP1B4,1,stad_uhongkong,stomach
LATS1,1,stad_uhongkong,stomach
PBRM1,1,stad_uhongkong,stomach
SF3B1,1,stad_uhongkong,stomach
SMC3,1,stad_uhongkong,stomach
TMEM57,1,stad_uhongkong,stomach
TLL2,1,stad_uhongkong,stomach
EIF4A2,1,stad_uhongkong,stomach
